Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Round of 32,Wed,2017-10-25,19:00 (12:00),SD Formentera,1–1,Athletic Bilbao,2376,Estadio Municipal,Pablo González,Match Report,Leg 1 of 2
Round of 32,Wed,2017-10-25,20:30 (13:30),Valladolid,1–2,Leganés,7289,Estadio Municipal José Zorrilla,Jesús Gil,Match Report,Leg 1 of 2
Round of 32,Wed,2017-10-25,20:30 (13:30),Ponferradina,1–0,Villarreal,2776,Estadio El Toralín,Mario Melero,Match Report,Leg 1 of 2
Round of 32,Wed,2017-10-25,21:30 (14:30),Eibar,1–2,Celta Vigo,3432,Estadio Municipal de Ipurúa,Alberto Undiano,Match Report,Leg 1 of 2
Round of 32,Wed,2017-10-25,21:30 (14:30),Elche,1–1,Atlético Madrid,15080,Estadio Manuel Martínez Valero,Javier Estrada,Match Report,Leg 1 of 2
Round of 32,Thu,2017-10-26,19:30 (12:30),Lleida,0–1,Real Sociedad,9872,Camp d'Esports de Lleida,Santiago Jaime,Match Report,Leg 1 of 2
Round of 32,Thu,2017-10-26,20:30 (13:30),La Coruña,1–4,Las Palmas,11951,Estadio Municipal de Riazor,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
Round of 32,Thu,2017-10-26,20:30 (13:30),Girona,0–2,Levante,6446,Estadi Municipal de Montilivi,José Sánchez,Match Report,Leg 1 of 2
Round of 32,Thu,2017-10-26,20:30 (14:30),Tenerife,0–0,Espanyol,13925,Estadio Heliodoro Rodríguez Lopéz,José González,Match Report,Leg 1 of 2
Round of 32,Thu,2017-10-26,21:30 (14:30),Fuenlabrada,0–2,Real Madrid,7200,Estadio Fernando Torres,Ignacio Iglesias,Match Report,Leg 1 of 2
Round of 32,Tue,2017-11-28,19:30 (12:30),Málaga,1–1,Numancia,13326,Estadio La Rosaleda,José Sánchez,Match Report,Leg 2 of 2; Numancia won
Round of 32,Tue,2017-11-28,19:30 (12:30),Leganés,1–0,Valladolid,5732,Estadio Municipal de Butarque,José Luis Munuera,Match Report,Leg 2 of 2; Leganés won
Round of 32,Tue,2017-11-28,21:30 (14:30),Celta Vigo,1–0,Eibar,8286,Estadio de Balaídos,Javier Estrada,Match Report,Leg 2 of 2; Celta Vigo won
Round of 32,Tue,2017-11-28,21:30 (14:30),Levante,1–1,Girona,6858,Estadio Ciudad de Valencia,Alberto Undiano,Match Report,Leg 2 of 2; Levante won
Round of 32,Tue,2017-11-28,21:30 (14:30),Real Madrid,2–2,Fuenlabrada,49638,Estadio Santiago Bernabéu,Pablo González,Match Report,Leg 2 of 2; Real Madrid won
Round of 32,Wed,2017-11-29,19:30 (12:30),Sevilla,4–0,Cartagena,11678,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,Match Report,Leg 2 of 2; Sevilla won
Round of 32,Wed,2017-11-29,19:30 (12:30),Real Sociedad,2–3,Lleida,8819,Estadio Municipal de Anoeta,Juan Martínez,Match Report,Leg 2 of 2; Lleida won
Round of 32,Wed,2017-11-29,19:30 (12:30),Barcelona,5–0,Real Murcia,68775,Camp Nou,Antonio Alberola Rojas,Match Report,Leg 2 of 2; Barcelona won
Round of 32,Wed,2017-11-29,20:30 (14:30),Las Palmas,2–3,La Coruña,7558,Estadio de Gran Canaria,Ricardo de Burgos,Match Report,Leg 2 of 2; Las Palmas won
Round of 32,Wed,2017-11-29,21:30 (14:30),Athletic Bilbao,0–1,SD Formentera,14294,San Mamés,Carlos del Cerro,Match Report,Leg 2 of 2; SD Formentera won
Round of 32,Wed,2017-11-29,21:30 (14:30),Atlético Madrid,3–0,Elche,46723,Estadio Wanda Metropolitano,David Medié,Match Report,Leg 2 of 2; Atlético Madrid won
Round of 32,Thu,2017-11-30,19:00 (12:00),Alavés,3–0,Getafe,9128,Estadio de Mendizorroza,José González,Match Report,Leg 2 of 2; Alavés won
Round of 32,Thu,2017-11-30,19:30 (12:30),Villarreal,3–0,Ponferradina,10591,Estadio de la Cerámica,Santiago Jaime,Match Report,Leg 2 of 2; Villarreal won
Round of 32,Thu,2017-11-30,19:30 (12:30),Espanyol,3–2,Tenerife,8130,RCDE Stadium,Ignacio Iglesias,Match Report,Leg 2 of 2; Espanyol won
Round of 32,Thu,2017-11-30,21:30 (14:30),Valencia,4–1,Zaragoza,26311,Estadio de Mestalla,Mario Melero,Match Report,Leg 2 of 2; Valencia won
Round of 32,Thu,2017-11-30,21:30 (14:30),Betis,3–5,Cádiz,25829,Estadio Benito Villamarín,Daniel Trujillo,Match Report,Leg 2 of 2; Cádiz won
Round of 16,Wed,2018-01-03,19:00 (12:00),Lleida,0–4,Atlético Madrid,12532,Camp d'Esports de Lleida,Ricardo de Burgos,Match Report,Leg 1 of 2
Round of 16,Wed,2018-01-03,19:00 (12:00),SD Formentera,1–3,Alavés,1100,Estadio Municipal,Alejandro Hernández,Match Report,Leg 1 of 2
Round of 16,Wed,2018-01-03,20:00 (14:00),Las Palmas,1–1,Valencia,16685,Estadio de Gran Canaria,Alberto Undiano,Match Report,Leg 1 of 2
Round of 16,Wed,2018-01-03,21:00 (14:00),Cádiz,0–2,Sevilla,17692,Estadio Ramón de Carranza,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
Round of 16,Thu,2018-01-04,19:00 (12:00),Leganés,1–0,Villarreal,9173,Estadio Municipal de Butarque,José Sánchez,Match Report,Leg 1 of 2
Round of 16,Thu,2018-01-04,19:00 (12:00),Celta Vigo,1–1,Barcelona,21338,Estadio de Balaídos,Juan Martínez,Match Report,Leg 1 of 2
Round of 16,Thu,2018-01-04,21:00 (14:00),Numancia,0–3,Real Madrid,8787,Nuevo Estadio Los Pajaritos,Javier Estrada,Match Report,Leg 1 of 2
Round of 16,Thu,2018-01-04,21:00 (14:00),Espanyol,1–2,Levante,12602,RCDE Stadium,David Fernández,Match Report,Leg 1 of 2
Round of 16,Tue,2018-01-09,19:30 (12:30),Atlético Madrid,3–0,Lleida,28033,Estadio Wanda Metropolitano,Alberola Rojas,Match Report,Leg 2 of 2; Atlético Madrid won
Round of 16,Tue,2018-01-09,21:30 (14:30),Valencia,4–0,Las Palmas,27869,Estadio de Mestalla,Carlos del Cerro,Match Report,Leg 2 of 2; Valencia won
Round of 16,Wed,2018-01-10,19:30 (12:30),Villarreal,2–1,Leganés,12122,Estadio de la Cerámica,Alfonso Álvarez,Match Report,Leg 2 of 2; Leganés won
Round of 16,Wed,2018-01-10,19:30 (12:30),Alavés,2–0,SD Formentera,8467,Estadio de Mendizorroza,Ignacio Iglesias,Match Report,Leg 2 of 2; Alavés won
Round of 16,Wed,2018-01-10,21:30 (14:30),Real Madrid,2–2,Numancia,37553,Estadio Santiago Bernabéu,José Luis Munuera,Match Report,Leg 2 of 2; Real Madrid won
Round of 16,Thu,2018-01-11,19:30 (12:30),Levante,0–2,Espanyol,9978,Estadio Ciudad de Valencia,Jesús Gil,Match Report,Leg 2 of 2; Espanyol won
Round of 16,Thu,2018-01-11,19:30 (12:30),Sevilla,2–1,Cádiz,23510,Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos,Match Report,Leg 2 of 2; Sevilla won
Round of 16,Thu,2018-01-11,21:30 (14:30),Barcelona,5–0,Celta Vigo,59009,Camp Nou,Alejandro Hernández,Match Report,Leg 2 of 2; Barcelona won
Quarter-finals,Wed,2018-01-17,19:00 (12:00),Atlético Madrid,1–2,Sevilla,51643,Estadio Wanda Metropolitano,Santiago Jaime,Match Report,Leg 1 of 2
Quarter-finals,Wed,2018-01-17,19:00 (12:00),Valencia,2–1,Alavés,31338,Estadio de Mestalla,José González,Match Report,Leg 1 of 2
Quarter-finals,Wed,2018-01-17,21:00 (14:00),Espanyol,1–0,Barcelona,23323,RCDE Stadium,Ricardo de Burgos,Match Report,Leg 1 of 2
Quarter-finals,Thu,2018-01-18,21:30 (14:30),Leganés,0–1,Real Madrid,11327,Estadio Municipal de Butarque,José Sánchez,Match Report,Leg 1 of 2
Quarter-finals,Tue,2018-01-23,21:30 (14:30),Sevilla,3–1,Atlético Madrid,39918,Estadio Ramón Sánchez Pizjuán,Juan Martínez,Match Report,Leg 2 of 2; Sevilla won
Quarter-finals,Wed,2018-01-24,19:00 (12:00),Alavés,(2) 2–1 (3),Valencia,19127,Estadio de Mendizorroza,Alfonso Álvarez,Match Report,Leg 2 of 2; Valencia won on penalty kicks following extra time
Quarter-finals,Wed,2018-01-24,21:30 (14:30),Real Madrid,1–2,Leganés,46409,Estadio Santiago Bernabéu,Jesús Gil,Match Report,Leg 2 of 2; Leganés won
Quarter-finals,Thu,2018-01-25,21:30 (14:30),Barcelona,2–0,Espanyol,79774,Camp Nou,Antonio Matéu Lahoz,Match Report,Leg 2 of 2; Barcelona won
Semi-finals,Wed,2018-01-31,21:30 (14:30),Leganés,1–1,Sevilla,11454,Estadio Municipal de Butarque,José González,Match Report,Leg 1 of 2
Semi-finals,Thu,2018-02-01,21:30 (14:30),Barcelona,1–0,Valencia,50959,Camp Nou,José Sánchez,Match Report,Leg 1 of 2
Semi-finals,Wed,2018-02-07,21:30 (14:30),Sevilla,2–0,Leganés,39705,Estadio Ramón Sánchez Pizjuán,Javier Estrada,Match Report,Leg 2 of 2; Sevilla won
Semi-finals,Thu,2018-02-08,21:30 (14:30),Valencia,0–2,Barcelona,43335,Estadio de Mestalla,Alberto Undiano,Match Report,Leg 2 of 2; Barcelona won
Final,Sat,2018-04-21,21:30 (14:30),Sevilla,0–5,Barcelona,67500,Estadio Wanda Metropolitano (Neutral Site),Jesús Gil,Match Report,
